ID PUNTO DE VENTA,PUNTO DE VENTA,ID SAP,PAÍS,ID REGIONAL,REGIONAL,DEPARTAMENTO,ID CIUDAD,CIUDAD,CEDI,ID ZONA,LATITUD,LONGITUD,ID CANAL,CANAL,ID SUBCANAL,SUBCANAL,ID TIPOLOGÍA,TIPOLOGÍA,ID CADENA,CADENA,ID SEGMENTO,SEGMENTO,ESTADO,DIRECCIÓN,ID BARRIO,BARRIO,CLIENTE ID,CLIENTE,ESTADO ASOC CLIENTE,ID LAB
2283930,AHORRO PARQUE,114017849.0,COLOMBIA,39380003,OCCIDENTE,CALDAS,17001,MANIZALES,CEDI MANIZALES,,200.0,200.0,308956,NO APLICA   ,308956,NO APLICA   ,308956,NO APLICA   ,130290,NO APLICA   ,308921,NO APLICA,ACTIVO,CL 8 4 44,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,114017849.0
2270568,AK170 ALKOSTO 170 S.A.,215100184.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.75927779,-74.06356467,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 69 170 15,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215100184.0
2270569,AKB30 ALKOSTO CRA. 30,215100257.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.61125408,-74.09462707,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 30 10 77,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215100257.0
2270570,AKB68 ALKOSTO AV. 68,215100346.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.68459679,-74.09184697,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,AV 68 72 43,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215100346.0
2270587,AKCAL ALKOSTO CALI,103137746.0,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,POSTOBON YUMBO,,3.386166,-76.538606,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,CL 13 80 111,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,103137746.0
2270571,AKCAN ALKOSTO SANTIAGO DE CALINORTE,103148777.0,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,POSTOBON YUMBO,,3.482253054,-76.50010522,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 4 NORTE 64 10,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,103148777.0
2270572,AKCE4,8337018803.0,COLOMBIA,39380001,CENTRO SUR,CUNDINAMARCA,25286,FUNZA,POSTOBON YUMBO,,4.6979854,-74.201486,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KM 3 5 VIA FUNZA MOSQUERA,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,8337018803.0
2270573,AKEDE ALKOSTO EL EDEN,215137911.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.6461409,-74.1288064,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,AV KR 72 12 B 60 L1 102,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215137911.0
2270574,AKFLO ALKOSTO FLORIDABLANCA,2971052099.0,COLOMBIA,39380006,SANTANDER,SANTANDER,68001,BUCARAMANGA,HIPINTO BUCARAMANGA,,7.0615015,-73.11781075,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KM 2 5 ANILLO VIAL GIRÂ¢N FLORIDABLA,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,2971052099.0
2270575,AKIGP ALKOSTO C.C. GRAN PLAZA,1331043088.0,COLOMBIA,39380003,OCCIDENTE,NARIÑO,52356,IPIALES,CEDI Ipiales,,0.8300017,-77.6489006,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,CL 24 6 120 C C GRAN PLAZA,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1331043088.0
